date,Kragujevac,Tallinn
03-06-20,21.0171875,12.84583333
04-06-20,22.15989583,10.51614583
05-06-20,22.70364583,10.42708333
06-06-20,24.65833333,12.1671875
07-06-20,25.68020833,11.078125
08-06-20,19.76666667,12.73385417
09-06-20,18.6265625,15.37239583
10-06-20,17.63072917,14.40520833
11-06-20,17.22395833,14.33177083
12-06-20,19.97604167,10.69947917
13-06-20,20.28489583,11.15885417
14-06-20,20.50989583,11.32552083
15-06-20,21.65885417,11.80052083
16-06-20,22.00572917,12.0796875
17-06-20,24.63489583,14.62239583
18-06-20,22.48385417,16.36197917
19-06-20,18.3171875,13.2484375
20-06-20,20.4265625,11.69739583
21-06-20,23.52395833,13.00677083
22-06-20,25.91458333,14.85885417
23-06-20,23.83229167,16.25
24-06-20,18.53333333,16.175
25-06-20,17.953125,15.61927083
26-06-20,18.77552083,14.52083333
27-06-20,18.6546875,16.99479167
28-06-20,17.7328125,17.61979167
29-06-20,19.89375,19.64375
30-06-20,23.4515625,15.50104167
01-07-20,24.4578125,18.4546875
02-07-20,25.45260417,17.31927083
03-07-20,24.6328125,15.80104167
04-07-20,21.84479167,16.62083333
05-07-20,21.47135417,18.29322917
06-07-20,22.01458333,20.02864583
07-07-20,21.68177083,20.953125
08-07-20,20.38645833,21.79583333
09-07-20,24.23385417,20.1125
10-07-20,24.3828125,18.9953125
11-07-20,24.35520833,16.85572917
12-07-20,26.121875,16.875
13-07-20,28.57291667,15.42083333
14-07-20,25.2703125,15.62708333
15-07-20,17.75052083,14.6640625
16-07-20,17.31302083,15.09114583
17-07-20,16.8875,15.34166667
18-07-20,20.49895833,13.9671875
19-07-20,20.75572917,16.06041667
20-07-20,20.5921875,15.74479167
21-07-20,21.91875,15.303125
22-07-20,23.65572917,15.54427083
23-07-20,24.99739583,14.48072917
24-07-20,25.75572917,18.28229167
25-07-20,23.875,20.209375
26-07-20,21.94479167,19.67708333
27-07-20,23.6421875,18.859375
28-07-20,23.33958333,21.8453125
29-07-20,22.97760417,24.4828125
30-07-20,23.74947917,20.20729167
31-07-20,23.41875,16.95520833
01-08-20,24.61197917,17.246875
02-08-20,25.925,19.33125
03-08-20,26.78125,18.60885417
04-08-20,25.58697917,18.9203125
05-08-20,26.3109375,19.49375
06-08-20,26.753125,22.31822917
07-08-20,27.72083333,21.6890625
08-08-20,27.81927083,20.07708333
09-08-20,24.8609375,17.88854167
10-08-20,23.11302083,17.12916667
11-08-20,23.58229167,15.45520833
12-08-20,26.54947917,14.77083333
13-08-20,24.0453125,14.05885417
14-08-20,18.52083333,15.66041667
15-08-20,20.84479167,15.6953125
16-08-20,23.16979167,15.696875
17-08-20,24.20625,19.65989583
18-08-20,24.690625,17.71927083
19-08-20,24.53645833,15.9640625
20-08-20,20.65,16.40260417
21-08-20,21.94375,15.29635417
22-08-20,23.4109375,14.94166667
23-08-20,21.83177083,13.0171875
24-08-20,21.26458333,13.79895833
25-08-20,22.03020833,15.3203125
26-08-20,19.2390625,14.96927083
27-08-20,19.44322917,15.87083333
28-08-20,18.6171875,15.47604167
29-08-20,18.603125,15.2796875
30-08-20,18.19635417,15.05052083
31-08-20,25.7015625,15.11354167
01-09-20,24.66666667,17.07135417
02-09-20,17.39166667,15.35833333
03-09-20,17.10885417,13.65989583
04-09-20,16.54895833,14.5984375
05-09-20,19.56614583,13.3484375
06-09-20,21.4765625,12.96666667
07-09-20,19.08072917,16.17552083
08-09-20,18.6859375,14.20104167
09-09-20,22.51302083,12.56458333
10-09-20,22.0421875,15.57864583
11-09-20,19.84947917,15.503125
12-09-20,17.48385417,15.6859375
