Country,Year
China,1378665000
India,1324171354
United States,323127513
Indonesia,261115456
Brazil,207652865
Pakistan,193203476
Nigeria,185989640
Bangladesh,162951560
Russian Federation,144342396
Mexico,127540423
Japan,126994511
Philippines,103320222
Ethiopia,102403196
"Egypt, Arab Rep.",95688681
Vietnam,92701100
Germany,82667685
"Iran, Islamic Rep.",80277428
Turkey,79512426
"Congo, Dem. Rep.",78736153
